time,jogos,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,posicao_r19,temporada,aproveitamento,distancia_para_16,distancia_para_z4,pontos_por_jogo,gols_pro_por_jogo,gols_contra_por_jogo,saldo_por_jogo,aproveitamento_ultimos_5,variacao_posicao_ultimas_5,percentual_pontos_casa,percentual_pontos_fora,posicao_final,rebaixado,serie_a_last_5,previous_season_position,previous_season_score,squad_strength_0_100,recent_points_last5,recent_goal_diff_last5,elo_ajustado
Ceara,19,16,3,7,9,11,22,-11,19,2018,0.2807017543859649,-5,-4,0.8421052631578947,0.5789473684210527,1.1578947368421053,-0.5789473684210527,0.5333333333333333,1,0.625,0.375,15,0,0.0,22.0,-1.0,48.6,8.0,-2.8947368421052633,1447.038857735742
Parana,19,14,3,5,11,9,25,-16,20,2018,0.24561403508771928,-7,-6,0.7368421052631579,0.47368421052631576,1.3157894736842106,-0.8421052631578947,0.06666666666666667,-2,0.9285714285714286,0.07142857142857142,20,1,0.0,22.0,-1.0,48.6,1.0,-4.2105263157894735,1335.5095458550998
Flamengo,19,42,13,3,3,42,18,24,1,2019,0.7368421052631579,24,24,2.210526315789474,2.210526315789474,0.9473684210526315,1.263157894736842,1.0,2,0.6428571428571429,0.35714285714285715,1,0,4.0,2.0,19.0,100.6,15.0,6.315789473684211,1731.955368962229
Palmeiras,19,39,11,6,2,30,14,16,2,2019,0.6842105263157895,21,21,2.0526315789473686,1.5789473684210527,0.7368421052631579,0.8421052631578947,0.6666666666666666,0,0.5897435897435898,0.41025641025641024,3,0,4.0,1.0,20.0,102.0,10.0,4.2105263157894735,1725.3631138841113
Santos,19,37,11,4,4,30,19,11,3,2019,0.6491228070175439,19,19,1.9473684210526316,1.5789473684210527,1.0,0.5789473684210527,0.3333333333333333,-2,0.5675675675675675,0.43243243243243246,2,0,4.0,10.0,11.0,89.4,5.0,2.8947368421052633,1506.5020341558495
Internacional,19,33,10,3,6,25,17,8,4,2019,0.5789473684210527,15,15,1.736842105263158,1.3157894736842106,0.8947368421052632,0.42105263157894735,0.8,4,0.7878787878787878,0.21212121212121213,7,0,3.0,3.0,18.0,93.2,12.0,2.1052631578947367,1713.8957545418189
Corinthians,19,32,8,8,3,21,12,9,5,2019,0.5614035087719298,14,14,1.6842105263157894,1.105263157894737,0.631578947368421,0.47368421052631576,0.5333333333333333,1,0.6875,0.3125,8,0,4.0,13.0,8.0,85.2,8.0,2.3684210526315788,1761.101341751857
Sao Paulo,19,32,8,8,3,21,13,8,6,2019,0.5614035087719298,14,14,1.6842105263157894,1.105263157894737,0.6842105263157895,0.42105263157894735,0.3333333333333333,-1,0.5625,0.4375,6,0,4.0,5.0,16.0,96.4,5.0,2.1052631578947367,1614.986986437013
Bahia,19,31,8,7,4,22,16,6,7,2019,0.543859649122807,13,13,1.631578947368421,1.1578947368421053,0.8421052631578947,0.3157894736842105,0.7333333333333333,3,0.6774193548387096,0.3225806451612903,11,0,3.0,11.0,10.0,82.0,11.0,1.5789473684210527,1547.2180917243513
Gremio,19,28,7,7,5,27,22,5,8,2019,0.49122807017543857,10,10,1.4736842105263157,1.4210526315789473,1.1578947368421053,0.2631578947368421,0.7333333333333333,6,0.6071428571428571,0.39285714285714285,4,0,4.0,4.0,17.0,97.8,11.0,1.3157894736842104,1612.9657922808278
Atletico-MG,19,27,8,3,8,24,23,1,9,2019,0.47368421052631576,9,9,1.4210526315789473,1.263157894736842,1.2105263157894737,0.05263157894736842,0.0,-5,0.6296296296296297,0.37037037037037035,13,0,4.0,6.0,15.0,95.0,0.0,0.2631578947368421,1539.0397501401658
Botafogo-RJ,19,27,8,3,8,18,19,-1,10,2019,0.47368421052631576,9,9,1.4210526315789473,0.9473684210526315,1.0,-0.05263157894736842,0.3333333333333333,-3,0.5925925925925926,0.4074074074074074,15,0,3.0,9.0,12.0,84.8,5.0,-0.2631578947368421,1841.6574495478396
Athletico-PR,19,26,8,2,9,25,19,6,11,2019,0.45614035087719296,8,8,1.368421052631579,1.3157894736842106,1.0,0.3157894736842105,0.4666666666666667,0,0.6923076923076923,0.3076923076923077,5,0,4.0,7.0,14.0,93.6,7.0,1.5789473684210527,1465.660972752581
